artistID,artistName,artistPopularity,artistFollowers,artistGenre,date
0DCw6lHkzh9t7f8Hb4Z0Sx,Arch Enemy,53,996640,"alternative metal, death metal, melodic death metal, metal, power metal, speed metal, swedish death metal, swedish melodeath, swedish metal, symphonic metal",2024-05-21
7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,83,24657521,"garage rock, modern rock, permanent wave, rock, sheffield indie",2024-05-21
3ShGiAyhxI6Rq3TknZ3gfk,Arkells,47,180122,"canadian rock, hamilton on indie",2024-05-21
0SfsnGyD8FpIN4U4WCkBZ5,Armin van Buuren,72,4295417,"dutch trance, edm, pop dance, progressive house, trance",2024-05-21
7Gsu15RkjjdKhMecdRpk9x,Art Department,23,70688,"canadian electronic, canadian house, deep disco house, microhouse, minimal tech house, minimal techno",2024-05-21
1caBfBEapzw8z2Qz9q0OaQ,Asking Alexandria,62,2159248,"alternative metal, metalcore, pop punk, post-grunge, trancecore, uk metalcore",2024-05-21
3dUltShd2gJQc98Kc7Syit,Astrix,49,442973,"full on, nitzhonot, psychedelic trance",2024-05-21
5E2rtn57BM2WPjwak4kGd5,At the Drive-In,42,326330,"dance-punk, el paso indie, emo, post-hardcore",2024-05-21
1GAS0rb4L8VTPvizAx2O9J,Atmosphere,53,664215,"alternative hip hop, conscious hip hop, minnesota hip hop",2024-05-21
3LkSiHbjqOHCKCqBfEZOTv,Atreyu,55,940087,"alternative metal, melodic metalcore, metalcore, nu metal, post-grunge, screamo",2024-05-21
1WgXqy2Dd70QQOU7Ay074N,AURORA,69,3596962,"art pop, norwegian pop",2024-05-21
0nmQIMXWTXfhgOBdNzhGOs,Avenged Sevenfold,73,7188180,alternative metal,2024-05-21
1vCWHaC5f2uS3yhpwWbIA6,Avicii,78,22712661,"dance pop, edm, pop, pop dance",2024-05-21
2XnBwblw31dfGnspMIwgWz,Axwell /\ Ingrosso,62,2435615,"edm, pop dance, progressive electro house",2024-05-21
7gRhy3MIPHQo5CXYfWaw9I,Azealia Banks,59,1058404,"escape room, hip house, lgbtq+ hip hop, trap queen",2024-05-21
5rSXSAkZ67PYJSvpUpkOr7,Backstreet Boys,73,5628313,"boy band, dance pop, pop",2024-05-21
2yJwXpWAQOOl5XFzbCxLs9,Bad Religion,58,1273465,"punk, skate punk, socal pop punk",2024-05-21
0OdUWJ0sBjDrqHygGUXeCF,Band of Horses,57,997963,"chamber pop, indie folk, indie rock, indietronica, modern rock, stomp and holler",2024-05-21
0dEvJpkqhrcn64d3oI8v79,Barenaked Ladies,56,789542,"canadian pop, canadian rock, pop rock, post-grunge",2024-05-21
3KdXhEwbqFHfNfSk7L9E87,Baroness,41,264751,"progressive sludge, sludge metal",2024-05-21
