date,isLiked,artistName,artistID,artistPopularity,artistFollowers,artistGenre
,,Sak Noel,15jrieCvf3EklAScnD9kKl,53,138522,
,,Sam Bush,3Fud2i8WgXSZCVmi961lXm,39,45070,"bluegrass, jam band, jamgrass, mandolin, progressive bluegrass"
,,Sam Bush Band,760LeQzmP42qbz3jmKbfgd,0,91,
,,Sam Smith,2wY79sveU1sp5g7SokKOiI,85,22593449,"pop, uk pop"
,,San Fermin,7fSnislKgW9Mz0YIqWQmGt,41,54956,"brooklyn indie, chamber pop"
,,San Holo,0jNDKefhfSbLR9sFvcPLHo,58,681871,"brostep, edm, electro house, electronic trap, future bass, pop dance"
,,Sander Van Doorn,22bukBZvUppuwQwmDz75Gz,49,363096,"dutch house, dutch trance, edm, electro house, pop dance, progressive electro house, progressive house"
,,Santigold,6Jrxnp0JgqmeUX1veU591p,58,693171,"alternative dance, art pop, indietronica, neo-synthpop"
,,Sasha,4xnihxcoXWK3UqryOSnbw5,72,1291314,alt z
,,Savages,1WFsBUAgQmrGQQEUyFKS60,30,121157,"chamber psych, garage psych, garage rock, modern alternative rock, noise pop"
,,SBTRKT,1O10apSOoAPjOu6UhUNmeI,56,639559,"electronica, future garage, indie soul, indietronica"
,,Seether,6B5c4sch27tWHAGdarpPaW,69,3177436,"alternative metal, nu metal, post-grunge, south african rock"
,,Sepultura,6JW8wliOEwaDZ231ZY7cf4,60,1671279,"alternative metal, brazilian groove metal, brazilian metal, brazilian thrash metal, death metal, deathrash, groove metal, hard rock, latin metal, metal, metal mineiro, nu metal, old school thrash, speed metal, thrash metal"
,,Seth Troxler,3JkLFcTej6tdwZoQT6Nx4B,41,104085,"deep disco house, deep house, detroit house, detroit techno, house, microhouse, minimal tech house, minimal techno, techno"
,,Seven Lions,6fcTRFpz0yH79qSKfof7lp,61,459873,"brostep, complextro, dubstep, edm, electro house, melodic dubstep, pop dance, progressive house, progressive trance"
,,Sexation,36bwlDyAIHSt5OVLJBZo1F,21,19,
,,Shabazz Palaces,6C403AR4y6PjN0xNNGh42m,37,119364,"afrofuturism, alternative hip hop, cascadia psych, escape room, experimental hip hop, psychedelic hip hop, seattle hip hop, wonky"
,,Shadow,76xrrejizyQpKukBIhnf3D,50,162546,"deathcore, melodic deathcore, melodic metalcore, slamming deathcore, symphonic deathcore"
,,Shame,4IeWU3NYBI9mISFVhzXG8f,46,148415,"crank wave, modern alternative rock, modern rock, uk post-punk revival"
,,Sharon Jones and the Dap Kings,6LufpoVlIYKQCu9Gjpk8B7,59,267030,"black americana, funk, retro soul, soul"
,,Sheryl Crow,4TKTii6gnOnUXQHyuo9JaD,67,1022904,"lilith, new wave pop, permanent wave, pop rock, singer-songwriter"
,,Shinedown,70BYFdaZbEKbeauJ670ysI,71,3833338,"alternative metal, nu metal, post-grunge"
,,Showtek,3gk0OYeLFWYupGFRHqLSR7,63,465848,"classic hardstyle, dutch house, edm, electro house, euphoric hardstyle, pop dance, progressive electro house"
